frame_no,frametime_original,frametime,in_slot_0,in_slot_1,in_slot_2,in_slot_3,out_slot_0,out_slot_1,out_slot_2,out_slot_3,measured_utilization_lot_0,measured_utilization_lot_1,measured_utilization_lot_2,measured_utilization_lot_3,avg_measured_utilization_of_total,avg_measured_unused_of_total,agg_net_space_util,agg_unused_space,spots_occupied,times_parking_in_use,times_parking_in_full_use,accumulated_used_slots_no_vehicles,avg_space_util_per_slot,avg_measured_unused_per_slot,net_util_at_full_capacity,net_util_of_used_lots,accum_time_used_slot_0_per_vehicle,accum_time_used_slot_1_per_vehicle,accum_time_used_slot_2_per_vehicle,accum_time_used_slot_3_per_vehicle,final_time_used_slot_0_per_vehicle,final_time_used_slot_1_per_vehicle,final_time_used_slot_2_per_vehicle,final_time_used_slot_3_per_vehicle,total_used_sec_slot_0,total_used_sec_slot_1,total_used_sec_slot_2,total_used_sec_slot_3,total_used_sec_slot_0_wrk_hrs,total_used_sec_slot_1_wrk_hrs,total_used_sec_slot_2_wrk_hrs,total_used_sec_slot_3_wrk_hrs,coordinate_end_slot_0,coordinate_end_slot_1,coordinate_end_slot_2,coordinate_end_slot_3,coordinate_start_slot_0,coordinate_start_slot_1,coordinate_start_slot_2,coordinate_start_slot_3,,,,,,,,,,,,,,,,,
1,7/10/17 12:15,12:15:00,1,0,1,1,0,0,0,0,87.54%,0.00%,92.00%,65.63%,61.29%,38.71%,2.45,1.55,3,1,0,3,81.72%,18.28%,0.00%,81.72%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,517,530,1234,1489,215,530,935,1279,,,,,,,,,,,,,,,,,
2,7/10/17 12:15,12:15:15,0,0,0,0,0,0,0,0,87.54%,0.00%,92.00%,65.63%,61.29%,38.71%,2.45,1.55,3,1,0,3,81.72%,18.28%,0.00%,81.72%,15,0,15,15,,,,,15,0,15,15,15,0,15,15,517,530,1234,1489,215,530,935,1279,,,,,,,,,,,,,,,,,
3,7/10/17 12:15,12:15:30,0,0,0,0,0,0,0,0,87.54%,0.00%,92.00%,65.63%,61.29%,38.71%,2.45,1.55,3,1,0,3,81.72%,18.28%,0.00%,81.72%,30,0,30,30,,,,,30,0,30,30,30,0,30,30,517,530,1234,1489,215,530,935,1279,,,,,,,,,,,,,,,,,
4,7/10/17 12:15,12:15:45,0,0,0,0,0,0,0,0,87.54%,0.00%,92.00%,65.63%,61.29%,38.71%,2.45,1.55,3,1,0,3,81.72%,18.28%,0.00%,81.72%,45,0,45,45,,,,,45,0,45,45,45,0,45,45,517,530,1234,1489,215,530,935,1279,,,,,,,,,,,,,,,,,
5,7/10/17 12:16,12:16:00,0,0,0,0,0,0,0,0,87.54%,0.00%,92.00%,65.63%,61.29%,38.71%,2.45,1.55,3,1,0,3,81.72%,18.28%,0.00%,81.72%,60,0,60,60,,,,,60,0,60,60,60,0,60,60,517,530,1234,1489,215,530,935,1279,,,,,,,,,,,,,,,,,
6,7/10/17 12:16,12:16:15,0,0,0,0,0,0,0,0,87.54%,0.00%,92.00%,65.63%,61.29%,38.71%,2.45,1.55,3,1,0,3,81.72%,18.28%,0.00%,81.72%,75,0,75,75,,,,,75,0,75,75,75,0,75,75,517,530,1234,1489,215,530,935,1279,,,,,,,,,,,,,,,,,
7,7/10/17 12:16,12:16:30,0,0,0,0,0,0,0,0,87.54%,0.00%,92.00%,65.63%,61.29%,38.71%,2.45,1.55,3,1,0,3,81.72%,18.28%,0.00%,81.72%,90,0,90,90,,,,,90,0,90,90,90,0,90,90,517,530,1234,1489,215,530,935,1279,,,,,,,,,,,,,,,,,
8,7/10/17 12:16,12:16:45,0,0,0,0,0,0,0,0,87.54%,0.00%,92.00%,65.63%,61.29%,38.71%,2.45,1.55,3,1,0,3,81.72%,18.28%,0.00%,81.72%,105,0,105,105,,,,,105,0,105,105,105,0,105,105,517,530,1234,1489,215,530,935,1279,,,,,,,,,,,,,,,,,
9,7/10/17 12:17,12:17:00,0,0,0,0,0,0,0,0,87.54%,0.00%,92.00%,65.63%,61.29%,38.71%,2.45,1.55,3,1,0,3,81.72%,18.28%,0.00%,81.72%,120,0,120,120,,,,,120,0,120,120,120,0,120,120,517,530,1234,1489,215,530,935,1279,,,,,,,,,,,,,,,,,
10,7/10/17 12:17,12:17:15,0,0,0,0,0,0,0,0,87.54%,0.00%,92.00%,65.63%,61.29%,38.71%,2.45,1.55,3,1,0,3,81.72%,18.28%,0.00%,81.72%,135,0,135,135,,,,,135,0,135,135,135,0,135,135,517,530,1234,1489,215,530,935,1279,,,,,,,,,,,,,,,,,
