frame_no,frametime_original,frametime,in_slot_0,in_slot_1,in_slot_2,in_slot_3,out_slot_0,out_slot_1,out_slot_2,out_slot_3,measured_utilization_lot_0,measured_utilization_lot_1,measured_utilization_lot_2,measured_utilization_lot_3,avg_measured_utilization_of_total,avg_measured_unused_of_total,agg_net_space_util,agg_unused_space,spots_occupied,times_parking_in_use,times_parking_in_full_use,accumulated_used_slots_no_vehicles,avg_space_util_per_slot,avg_measured_unused_per_slot,net_util_at_full_capacity,net_util_of_used_lots,accum_time_used_slot_0_per_vehicle,accum_time_used_slot_1_per_vehicle,accum_time_used_slot_2_per_vehicle,accum_time_used_slot_3_per_vehicle,final_time_used_slot_0_per_vehicle,final_time_used_slot_1_per_vehicle,final_time_used_slot_2_per_vehicle,final_time_used_slot_3_per_vehicle,total_used_sec_slot_0,total_used_sec_slot_1,total_used_sec_slot_2,total_used_sec_slot_3,total_used_sec_slot_0_wrk_hrs,total_used_sec_slot_1_wrk_hrs,total_used_sec_slot_2_wrk_hrs,total_used_sec_slot_3_wrk_hrs,coordinate_end_slot_0,coordinate_end_slot_1,coordinate_end_slot_2,coordinate_end_slot_3,coordinate_start_slot_0,coordinate_start_slot_1,coordinate_start_slot_2,coordinate_start_slot_3,,,,,,,,,,,,,,,,,
1,7/12/17 11:30,11:30:00,1,0,1,1,0,0,0,0,75.26%,0.00%,73.64%,87.69%,59.15%,40.85%,2.37,1.63,3,1,0,3,78.86%,21.14%,0.00%,78.86%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,526,620,1357,1592,235,620,1067,1389,,,,,,,,,,,,,,,,,
2,7/12/17 11:30,11:30:15,0,0,0,0,0,0,0,0,75.26%,0.00%,73.64%,87.69%,59.15%,40.85%,2.37,1.63,3,1,0,3,78.86%,21.14%,0.00%,78.86%,15,0,15,15,,,,,15,0,15,15,15,0,15,15,526,620,1357,1592,235,620,1067,1389,,,,,,,,,,,,,,,,,
3,7/12/17 11:30,11:30:30,0,0,0,0,0,0,0,0,75.26%,0.00%,73.64%,87.69%,59.15%,40.85%,2.37,1.63,3,1,0,3,78.86%,21.14%,0.00%,78.86%,30,0,30,30,,,,,30,0,30,30,30,0,30,30,526,620,1357,1592,235,620,1067,1389,,,,,,,,,,,,,,,,,
4,7/12/17 11:30,11:30:45,0,0,0,0,0,0,0,0,75.26%,0.00%,73.64%,87.69%,59.15%,40.85%,2.37,1.63,3,1,0,3,78.86%,21.14%,0.00%,78.86%,45,0,45,45,,,,,45,0,45,45,45,0,45,45,526,620,1357,1592,235,620,1067,1389,,,,,,,,,,,,,,,,,
5,7/12/17 11:31,11:31:00,0,0,0,0,0,0,0,0,75.26%,0.00%,73.64%,87.69%,59.15%,40.85%,2.37,1.63,3,1,0,3,78.86%,21.14%,0.00%,78.86%,60,0,60,60,,,,,60,0,60,60,60,0,60,60,526,620,1357,1592,235,620,1067,1389,,,,,,,,,,,,,,,,,
6,7/12/17 11:31,11:31:15,0,0,0,0,0,0,0,0,75.26%,0.00%,73.64%,87.69%,59.15%,40.85%,2.37,1.63,3,1,0,3,78.86%,21.14%,0.00%,78.86%,75,0,75,75,,,,,75,0,75,75,75,0,75,75,526,620,1357,1593,235,620,1067,1389,,,,,,,,,,,,,,,,,
7,7/12/17 11:31,11:31:30,0,0,0,0,0,0,0,0,75.26%,0.00%,73.64%,87.69%,59.15%,40.85%,2.37,1.63,3,1,0,3,78.86%,21.14%,0.00%,78.86%,90,0,90,90,,,,,90,0,90,90,90,0,90,90,526,620,1357,1592,235,620,1067,1389,,,,,,,,,,,,,,,,,
8,7/12/17 11:31,11:31:45,0,0,0,0,0,0,0,0,75.26%,0.00%,73.64%,87.69%,59.15%,40.85%,2.37,1.63,3,1,0,3,78.86%,21.14%,0.00%,78.86%,105,0,105,105,,,,,105,0,105,105,105,0,105,105,526,620,1357,1593,235,620,1067,1389,,,,,,,,,,,,,,,,,
9,7/12/17 11:32,11:32:00,0,0,0,0,0,0,0,0,75.26%,0.00%,73.64%,87.69%,59.15%,40.85%,2.37,1.63,3,1,0,3,78.86%,21.14%,0.00%,78.86%,120,0,120,120,,,,,120,0,120,120,120,0,120,120,526,620,1357,1593,235,620,1067,1389,,,,,,,,,,,,,,,,,
10,7/12/17 11:32,11:32:15,0,0,0,0,0,0,0,0,75.26%,0.00%,73.64%,87.69%,59.15%,40.85%,2.37,1.63,3,1,0,3,78.86%,21.14%,0.00%,78.86%,135,0,135,135,,,,,135,0,135,135,135,0,135,135,526,620,1357,1593,235,620,1067,1389,,,,,,,,,,,,,,,,,
