frame_no,frametime_original,frametime,in_slot_0,in_slot_1,in_slot_2,in_slot_3,out_slot_0,out_slot_1,out_slot_2,out_slot_3,measured_utilization_lot_0,measured_utilization_lot_1,measured_utilization_lot_2,measured_utilization_lot_3,avg_measured_utilization_of_total,avg_measured_unused_of_total,agg_net_space_util,agg_unused_space,spots_occupied,times_parking_in_use,times_parking_in_full_use,accumulated_used_slots_no_vehicles,avg_space_util_per_slot,avg_measured_unused_per_slot,net_util_at_full_capacity,net_util_of_used_lots,accum_time_used_slot_0_per_vehicle,accum_time_used_slot_1_per_vehicle,accum_time_used_slot_2_per_vehicle,accum_time_used_slot_3_per_vehicle,final_time_used_slot_0_per_vehicle,final_time_used_slot_1_per_vehicle,final_time_used_slot_2_per_vehicle,final_time_used_slot_3_per_vehicle,total_used_sec_slot_0,total_used_sec_slot_1,total_used_sec_slot_2,total_used_sec_slot_3,total_used_sec_slot_0_wrk_hrs,total_used_sec_slot_1_wrk_hrs,total_used_sec_slot_2_wrk_hrs,total_used_sec_slot_3_wrk_hrs,coordinate_end_slot_0,coordinate_end_slot_1,coordinate_end_slot_2,coordinate_end_slot_3,coordinate_start_slot_0,coordinate_start_slot_1,coordinate_start_slot_2,coordinate_start_slot_3
1,7/10/17 12:15,12:15:00,1,1,1,1,0,0,0,0,72.65%,92.34%,91.50%,95.63%,88.03%,11.97%,3.52,0.48,4,1,1,4,88.03%,11.97%,88.03%,88.03%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,767,973,1179,1337,567,778,996,1184
2,7/10/17 12:15,12:15:15,0,0,0,0,0,0,0,0,72.65%,92.34%,91.50%,95.63%,88.03%,11.97%,3.52,0.48,4,1,1,4,88.03%,11.97%,88.03%,88.03%,15,15,15,15,,,,,15,15,15,15,15,15,15,15,767,973,1179,1337,567,778,996,1184
3,7/10/17 12:15,12:15:30,0,0,0,0,0,0,0,0,72.65%,92.34%,91.50%,86.25%,85.69%,14.31%,3.43,0.57,4,1,1,4,85.69%,14.31%,85.69%,85.69%,30,30,30,30,,,,,30,30,30,30,30,30,30,30,767,973,1179,1323,567,778,996,1185
4,7/10/17 12:15,12:15:45,0,0,0,0,0,0,0,0,72.65%,92.34%,91.50%,83.13%,84.90%,15.10%,3.4,0.6,4,1,1,4,84.90%,15.10%,84.90%,84.90%,45,45,45,45,,,,,45,45,45,45,45,45,45,45,767,973,1179,1318,567,778,996,1185
5,7/10/17 12:16,12:16:00,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,60,60,60,60,,,,,60,60,60,60,60,60,60,60,767,973,1179,1318,567,781,996,1185
6,7/10/17 12:16,12:16:15,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,75,75,75,75,,,,,75,75,75,75,75,75,75,75,767,973,1179,1318,567,781,996,1185
7,7/10/17 12:16,12:16:30,0,0,0,0,0,0,0,0,72.65%,92.34%,91.50%,83.13%,84.90%,15.10%,3.4,0.6,4,1,1,4,84.90%,15.10%,84.90%,84.90%,90,90,90,90,,,,,90,90,90,90,90,90,90,90,767,973,1179,1318,567,778,996,1185
8,7/10/17 12:16,12:16:45,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,105,105,105,105,,,,,105,105,105,105,105,105,105,105,767,973,1179,1318,567,781,996,1185
9,7/10/17 12:17,12:17:00,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,120,120,120,120,,,,,120,120,120,120,120,120,120,120,767,973,1179,1318,567,781,996,1185
10,7/10/17 12:17,12:17:15,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,135,135,135,135,,,,,135,135,135,135,135,135,135,135,767,973,1179,1318,567,781,996,1185
11,7/10/17 12:17,12:17:30,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,150,150,150,150,,,,,150,150,150,150,150,150,150,150,767,973,1179,1318,567,781,996,1185
12,7/10/17 12:17,12:17:45,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,165,165,165,165,,,,,165,165,165,165,165,165,165,165,767,973,1179,1318,567,781,996,1185
13,7/10/17 12:18,12:18:00,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,180,180,180,180,,,,,180,180,180,180,180,180,180,180,767,973,1179,1318,567,781,996,1185
14,7/10/17 12:18,12:18:15,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,195,195,195,195,,,,,195,195,195,195,195,195,195,195,767,973,1179,1318,567,781,996,1185
15,7/10/17 12:18,12:18:30,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,210,210,210,210,,,,,210,210,210,210,210,210,210,210,767,973,1179,1318,567,781,996,1185
16,7/10/17 12:18,12:18:45,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,83.13%,84.59%,15.41%,3.38,0.62,4,1,1,4,84.59%,15.41%,84.59%,84.59%,225,225,225,225,,,,,225,225,225,225,225,225,225,225,767,973,1179,1318,567,781,996,1185
17,7/10/17 12:19,12:19:00,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,81.88%,84.27%,15.73%,3.37,0.63,4,1,1,4,84.27%,15.73%,84.27%,84.27%,240,240,240,240,,,,,240,240,240,240,240,240,240,240,767,973,1179,1318,567,781,996,1187
18,7/10/17 12:19,12:19:15,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,86.88%,85.52%,14.48%,3.42,0.58,4,1,1,4,85.52%,14.48%,85.52%,85.52%,255,255,255,255,,,,,255,255,255,255,255,255,255,255,767,973,1179,1326,567,781,996,1187
19,7/10/17 12:19,12:19:30,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,86.88%,85.52%,14.48%,3.42,0.58,4,1,1,4,85.52%,14.48%,85.52%,85.52%,270,270,270,270,,,,,270,270,270,270,270,270,270,270,767,973,1179,1326,567,781,996,1187
20,7/10/17 12:19,12:19:45,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,85.00%,85.05%,14.95%,3.4,0.6,4,1,1,4,85.05%,14.95%,85.05%,85.05%,285,285,285,285,,,,,285,285,285,285,285,285,285,285,767,973,1179,1323,567,781,996,1187
21,7/10/17 12:20,12:20:00,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,85.00%,85.05%,14.95%,3.4,0.6,4,1,1,4,85.05%,14.95%,85.05%,85.05%,300,300,300,300,,,,,300,300,300,300,300,300,300,300,767,973,1179,1323,567,781,996,1187
22,7/10/17 12:20,12:20:15,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,86.88%,85.52%,14.48%,3.42,0.58,4,1,1,4,85.52%,14.48%,85.52%,85.52%,315,315,315,315,,,,,315,315,315,315,315,315,315,315,767,973,1179,1326,567,781,996,1187
23,7/10/17 12:20,12:20:30,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,86.88%,85.52%,14.48%,3.42,0.58,4,1,1,4,85.52%,14.48%,85.52%,85.52%,330,330,330,330,,,,,330,330,330,330,330,330,330,330,767,973,1179,1326,567,781,996,1187
24,7/10/17 12:20,12:20:45,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,86.88%,85.52%,14.48%,3.42,0.58,4,1,1,4,85.52%,14.48%,85.52%,85.52%,345,345,345,345,,,,,345,345,345,345,345,345,345,345,767,973,1179,1326,567,781,996,1187
25,7/10/17 12:21,12:21:00,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,85.00%,85.05%,14.95%,3.4,0.6,4,1,1,4,85.05%,14.95%,85.05%,85.05%,360,360,360,360,,,,,360,360,360,360,360,360,360,360,767,973,1179,1323,567,781,996,1187
26,7/10/17 12:21,12:21:15,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,86.88%,85.52%,14.48%,3.42,0.58,4,1,1,4,85.52%,14.48%,85.52%,85.52%,375,375,375,375,,,,,375,375,375,375,375,375,375,375,767,973,1179,1326,567,781,996,1187
27,7/10/17 12:21,12:21:30,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,86.88%,85.52%,14.48%,3.42,0.58,4,1,1,4,85.52%,14.48%,85.52%,85.52%,390,390,390,390,,,,,390,390,390,390,390,390,390,390,767,973,1179,1326,567,781,996,1187
28,7/10/17 12:21,12:21:45,0,0,0,0,0,0,0,0,72.65%,91.06%,91.50%,85.63%,85.21%,14.79%,3.41,0.59,4,1,1,4,85.21%,14.79%,85.21%,85.21%,405,405,405,405,,,,,405,405,405,405,405,405,405,405,767,973,1179,1326,567,781,996,1189
29,7/10/17 12:22,12:22:00,0,0,0,0,0,0,0,0,72.65%,89.79%,91.50%,85.63%,84.89%,15.11%,3.4,0.6,4,1,1,4,84.89%,15.11%,84.89%,84.89%,420,420,420,420,,,,,420,420,420,420,420,420,420,420,767,970,1179,1326,567,781,996,1189
30,7/10/17 12:22,12:22:15,0,0,0,0,0,0,0,0,72.65%,89.79%,91.50%,82.50%,84.11%,15.89%,3.36,0.64,4,1,1,4,84.11%,15.89%,84.11%,84.11%,435,435,435,435,,,,,435,435,435,435,435,435,435,435,767,970,1179,1321,567,781,996,1189
31,7/10/17 12:22,12:22:30,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,82.50%,84.49%,15.51%,3.38,0.62,4,1,1,4,84.49%,15.51%,84.49%,84.49%,450,450,450,450,,,,,450,450,450,450,450,450,450,450,767,970,1179,1321,567,781,993,1189
32,7/10/17 12:22,12:22:45,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,82.50%,84.49%,15.51%,3.38,0.62,4,1,1,4,84.49%,15.51%,84.49%,84.49%,465,465,465,465,,,,,465,465,465,465,465,465,465,465,767,970,1179,1321,567,781,993,1189
