frame_no,frametime_original,frametime,in_slot_0,in_slot_1,in_slot_2,in_slot_3,out_slot_0,out_slot_1,out_slot_2,out_slot_3,measured_utilization_lot_0,measured_utilization_lot_1,measured_utilization_lot_2,measured_utilization_lot_3,avg_measured_utilization_of_total,avg_measured_unused_of_total,agg_net_space_util,agg_unused_space,spots_occupied,times_parking_in_use,times_parking_in_full_use,accumulated_used_slots_no_vehicles,avg_space_util_per_slot,avg_measured_unused_per_slot,net_util_at_full_capacity,net_util_of_used_lots,accum_time_used_slot_0_per_vehicle,accum_time_used_slot_1_per_vehicle,accum_time_used_slot_2_per_vehicle,accum_time_used_slot_3_per_vehicle,final_time_used_slot_0_per_vehicle,final_time_used_slot_1_per_vehicle,final_time_used_slot_2_per_vehicle,final_time_used_slot_3_per_vehicle,total_used_sec_slot_0,total_used_sec_slot_1,total_used_sec_slot_2,total_used_sec_slot_3,total_used_sec_slot_0_wrk_hrs,total_used_sec_slot_1_wrk_hrs,total_used_sec_slot_2_wrk_hrs,total_used_sec_slot_3_wrk_hrs,coordinate_end_slot_0,coordinate_end_slot_1,coordinate_end_slot_2,coordinate_end_slot_3,coordinate_start_slot_0,coordinate_start_slot_1,coordinate_start_slot_2,coordinate_start_slot_3
33,7/10/17 12:23,12:23:00,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,85.63%,85.27%,14.73%,3.41,0.59,4,1,1,4,85.27%,14.73%,85.27%,85.27%,480,480,480,480,,,,,480,480,480,480,480,480,480,480,767,970,1179,1326,567,781,993,1189
34,7/10/17 12:23,12:23:15,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,85.63%,85.27%,14.73%,3.41,0.59,4,1,1,4,85.27%,14.73%,85.27%,85.27%,495,495,495,495,,,,,495,495,495,495,495,495,495,495,767,970,1179,1326,567,781,993,1189
35,7/10/17 12:23,12:23:30,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,85.63%,85.27%,14.73%,3.41,0.59,4,1,1,4,85.27%,14.73%,85.27%,85.27%,510,510,510,510,,,,,510,510,510,510,510,510,510,510,767,970,1179,1326,567,781,993,1189
36,7/10/17 12:23,12:23:45,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,525,525,525,525,,,,,525,525,525,525,525,525,525,525,767,970,1179,1323,567,781,993,1189
37,7/10/17 12:24,12:24:00,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,540,540,540,540,,,,,540,540,540,540,540,540,540,540,767,970,1179,1323,567,781,993,1189
38,7/10/17 12:24,12:24:15,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,555,555,555,555,,,,,555,555,555,555,555,555,555,555,767,970,1179,1323,567,781,993,1189
39,7/10/17 12:24,12:24:30,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,570,570,570,570,,,,,570,570,570,570,570,570,570,570,767,970,1179,1323,567,781,993,1189
40,7/10/17 12:24,12:24:45,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,585,585,585,585,,,,,585,585,585,585,585,585,585,585,767,970,1179,1323,567,781,993,1189
41,7/10/17 12:25,12:25:00,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,600,600,600,600,,,,,600,600,600,600,600,600,600,600,767,970,1179,1323,567,781,993,1189
42,7/10/17 12:25,12:25:15,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,615,615,615,615,,,,,615,615,615,615,615,615,615,615,767,970,1179,1323,567,781,993,1189
43,7/10/17 12:25,12:25:30,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,630,630,630,630,,,,,630,630,630,630,630,630,630,630,767,970,1179,1323,567,781,993,1189
44,7/10/17 12:25,12:25:45,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,645,645,645,645,,,,,645,645,645,645,645,645,645,645,767,970,1179,1323,567,781,993,1189
45,7/10/17 12:26,12:26:00,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,660,660,660,660,,,,,660,660,660,660,660,660,660,660,767,970,1179,1323,567,781,993,1189
46,7/10/17 12:26,12:26:15,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,675,675,675,675,,,,,675,675,675,675,675,675,675,675,767,970,1179,1323,567,781,993,1189
47,7/10/17 12:26,12:26:30,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,690,690,690,690,,,,,690,690,690,690,690,690,690,690,767,970,1179,1323,567,781,993,1189
48,7/10/17 12:26,12:26:45,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,705,705,705,705,,,,,705,705,705,705,705,705,705,705,767,970,1179,1323,567,781,993,1189
49,7/10/17 12:27,12:27:00,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,720,720,720,720,,,,,720,720,720,720,720,720,720,720,767,970,1179,1323,567,781,993,1189
50,7/10/17 12:27,12:27:15,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,735,735,735,735,,,,,735,735,735,735,735,735,735,735,767,970,1179,1323,567,781,993,1189
51,7/10/17 12:27,12:27:30,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,750,750,750,750,,,,,750,750,750,750,750,750,750,750,767,970,1179,1323,567,781,993,1189
52,7/10/17 12:27,12:27:45,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,765,765,765,765,,,,,765,765,765,765,765,765,765,765,767,970,1179,1323,567,781,993,1189
53,7/10/17 12:28,12:28:00,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,780,780,780,780,,,,,780,780,780,780,780,780,780,780,767,970,1179,1323,567,781,993,1189
54,7/10/17 12:28,12:28:15,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,795,795,795,795,,,,,795,795,795,795,795,795,795,795,767,970,1179,1323,567,781,993,1189
55,7/10/17 12:28,12:28:30,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,810,810,810,810,,,,,810,810,810,810,810,810,810,810,767,970,1179,1323,567,781,993,1189
56,7/10/17 12:28,12:28:45,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,825,825,825,825,,,,,825,825,825,825,825,825,825,825,767,970,1179,1323,567,781,993,1189
57,7/10/17 12:29,12:29:00,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,840,840,840,840,,,,,840,840,840,840,840,840,840,840,767,970,1179,1323,567,781,993,1189
58,7/10/17 12:29,12:29:15,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,855,855,855,855,,,,,855,855,855,855,855,855,855,855,767,970,1179,1323,567,781,993,1189
59,7/10/17 12:29,12:29:30,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,870,870,870,870,,,,,870,870,870,870,870,870,870,870,767,970,1179,1323,567,781,993,1189
60,7/10/17 12:29,12:29:45,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,885,885,885,885,,,,,885,885,885,885,885,885,885,885,767,970,1179,1323,567,781,993,1189
61,7/10/17 12:30,12:30:00,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,900,900,900,900,,,,,900,900,900,900,900,900,900,900,767,970,1179,1323,567,781,993,1189
62,7/10/17 12:30,12:30:15,0,0,0,0,0,0,0,0,72.65%,89.79%,93.00%,83.75%,84.80%,15.20%,3.39,0.61,4,1,1,4,84.80%,15.20%,84.80%,84.80%,915,915,915,915,,,,,915,915,915,915,915,915,915,915,767,970,1179,1323,567,781,993,1189
63,7/10/17 12:30,12:30:30,0,0,0,0,0,0,0,0,72.65%,90.21%,93.00%,83.75%,84.90%,15.10%,3.4,0.6,4,1,1,4,84.90%,15.10%,84.90%,84.90%,930,930,930,930,,,,,930,930,930,930,930,930,930,930,767,971,1179,1323,567,781,993,1189
64,7/10/17 12:30,12:30:45,0,0,0,0,0,0,0,0,72.65%,90.21%,93.00%,83.75%,84.90%,15.10%,3.4,0.6,4,1,1,4,84.90%,15.10%,84.90%,84.90%,945,945,945,945,,,,,945,945,945,945,945,945,945,945,767,971,1179,1323,567,781,993,1189
65,7/10/17 12:31,12:31:00,0,0,0,0,0,0,0,0,72.65%,90.21%,93.00%,83.75%,84.90%,15.10%,3.4,0.6,4,1,1,4,84.90%,15.10%,84.90%,84.90%,960,960,960,960,,,,,960,960,960,960,960,960,960,960,767,971,1179,1323,567,781,993,1189
66,7/10/17 12:31,12:31:15,0,0,0,0,0,0,0,0,72.65%,90.21%,93.00%,83.75%,84.90%,15.10%,3.4,0.6,4,1,1,4,84.90%,15.10%,84.90%,84.90%,975,975,975,975,,,,,975,975,975,975,975,975,975,975,767,971,1179,1323,567,781,993,1189
67,7/10/17 12:31,12:31:30,0,0,0,0,0,0,0,0,72.65%,90.21%,93.00%,83.75%,84.90%,15.10%,3.4,0.6,4,1,1,4,84.90%,15.10%,84.90%,84.90%,990,990,990,990,,,,,990,990,990,990,990,990,990,990,767,971,1179,1323,567,781,993,1189
68,7/10/17 12:31,12:31:45,0,0,0,0,0,0,0,0,72.65%,90.21%,93.50%,87.50%,85.97%,14.03%,3.44,0.56,4,1,1,4,85.97%,14.03%,85.97%,85.97%,1005,1005,1005,1005,,,,,1005,1005,1005,1005,1005,1005,1005,1005,767,971,1184,1325,567,781,993,1189
69,7/10/17 12:32,12:32:00,0,0,0,0,0,0,0,0,72.65%,90.21%,93.50%,87.50%,85.97%,14.03%,3.44,0.56,4,1,1,4,85.97%,14.03%,85.97%,85.97%,1020,1020,1020,1020,,,,,1020,1020,1020,1020,1020,1020,1020,1020,767,971,1184,1325,567,781,993,1189
70,7/10/17 12:32,12:32:15,0,0,0,0,0,0,0,0,72.65%,90.21%,93.50%,87.50%,85.97%,14.03%,3.44,0.56,4,1,1,4,85.97%,14.03%,85.97%,85.97%,1035,1035,1035,1035,,,,,1035,1035,1035,1035,1035,1035,1035,1035,767,971,1184,1325,567,781,993,1189
71,7/10/17 12:32,12:32:30,0,0,0,0,0,0,0,0,73.47%,90.21%,93.50%,87.50%,86.17%,13.83%,3.45,0.55,4,1,1,4,86.17%,13.83%,86.17%,86.17%,1050,1050,1050,1050,,,,,1050,1050,1050,1050,1050,1050,1050,1050,767,971,1184,1325,565,781,993,1189
72,7/10/17 12:32,12:32:45,0,0,0,0,0,0,0,0,73.47%,90.21%,93.50%,87.50%,86.17%,13.83%,3.45,0.55,4,1,1,4,86.17%,13.83%,86.17%,86.17%,1065,1065,1065,1065,,,,,1065,1065,1065,1065,1065,1065,1065,1065,767,971,1184,1325,565,781,993,1189
73,7/10/17 12:33,12:33:00,0,0,0,0,0,0,0,0,73.47%,90.21%,93.50%,87.50%,86.17%,13.83%,3.45,0.55,4,1,1,4,86.17%,13.83%,86.17%,86.17%,1080,1080,1080,1080,,,,,1080,1080,1080,1080,1080,1080,1080,1080,767,971,1184,1325,565,781,993,1189
74,7/10/17 12:33,12:33:15,0,0,0,0,0,0,0,0,73.47%,90.21%,93.50%,87.50%,86.17%,13.83%,3.45,0.55,4,1,1,4,86.17%,13.83%,86.17%,86.17%,1095,1095,1095,1095,,,,,1095,1095,1095,1095,1095,1095,1095,1095,767,971,1184,1325,565,781,993,1189
75,7/10/17 12:33,12:33:30,0,0,0,0,0,0,0,0,73.47%,90.21%,93.50%,87.50%,86.17%,13.83%,3.45,0.55,4,1,1,4,86.17%,13.83%,86.17%,86.17%,1110,1110,1110,1110,,,,,1110,1110,1110,1110,1110,1110,1110,1110,767,971,1184,1325,565,781,993,1189
76,7/10/17 12:33,12:33:45,0,0,0,0,0,0,0,0,73.47%,90.21%,93.50%,87.50%,86.17%,13.83%,3.45,0.55,4,1,1,4,86.17%,13.83%,86.17%,86.17%,1125,1125,1125,1125,,,,,1125,1125,1125,1125,1125,1125,1125,1125,767,971,1184,1325,565,781,993,1189
77,7/10/17 12:34,12:34:00,0,0,0,0,1,0,0,0,0.00%,80.85%,93.50%,87.50%,65.46%,34.54%,2.62,1.38,3,1,0,4,87.28%,12.72%,0.00%,87.28%,0,1140,1140,1140,1125,,,,1125,1140,1140,1140,1125,1140,1140,1140,500,971,1184,1325,500,781,993,1189
78,7/10/17 12:34,12:34:15,0,0,0,0,0,0,0,0,0.00%,80.85%,93.50%,87.50%,65.46%,34.54%,2.62,1.38,3,1,0,4,87.28%,12.72%,0.00%,87.28%,0,1155,1155,1155,,,,,1125,1155,1155,1155,1125,1155,1155,1155,500,971,1184,1325,500,781,993,1189
79,7/10/17 12:34,12:34:30,0,0,0,0,0,0,0,0,0.00%,80.85%,93.50%,87.50%,65.46%,34.54%,2.62,1.38,3,1,0,4,87.28%,12.72%,0.00%,87.28%,0,1170,1170,1170,,,,,1125,1170,1170,1170,1125,1170,1170,1170,500,971,1184,1325,500,781,993,1189
80,7/10/17 12:34,12:34:45,0,0,0,0,0,0,0,0,0.00%,80.43%,93.50%,87.50%,65.36%,34.64%,2.61,1.39,3,1,0,4,87.14%,12.86%,0.00%,87.14%,0,1185,1185,1185,,,,,1125,1185,1185,1185,1125,1185,1185,1185,500,971,1184,1325,500,782,993,1189
81,7/10/17 12:35,12:35:00,0,0,0,0,0,0,0,0,0.00%,80.43%,93.50%,87.50%,65.36%,34.64%,2.61,1.39,3,1,0,4,87.14%,12.86%,0.00%,87.14%,0,1200,1200,1200,,,,,1125,1200,1200,1200,1125,1200,1200,1200,500,971,1184,1325,500,782,993,1189
82,7/10/17 12:35,12:35:15,0,0,0,0,0,0,0,0,0.00%,80.43%,93.50%,87.50%,65.36%,34.64%,2.61,1.39,3,1,0,4,87.14%,12.86%,0.00%,87.14%,0,1215,1215,1215,,,,,1125,1215,1215,1215,1125,1215,1215,1215,500,971,1184,1325,500,782,993,1189
83,7/10/17 12:35,12:35:30,0,0,0,0,0,0,0,0,0.00%,80.85%,93.50%,87.50%,65.46%,34.54%,2.62,1.38,3,1,0,4,87.28%,12.72%,0.00%,87.28%,0,1230,1230,1230,,,,,1125,1230,1230,1230,1125,1230,1230,1230,500,971,1184,1325,500,781,993,1189
84,7/10/17 12:35,12:35:45,0,0,0,0,0,0,0,0,0.00%,80.85%,93.50%,87.50%,65.46%,34.54%,2.62,1.38,3,1,0,4,87.28%,12.72%,0.00%,87.28%,0,1245,1245,1245,,,,,1125,1245,1245,1245,1125,1245,1245,1245,500,971,1184,1325,500,781,993,1189
85,7/10/17 12:36,12:36:00,0,0,0,0,0,0,0,0,0.00%,80.85%,93.50%,87.50%,65.46%,34.54%,2.62,1.38,3,1,0,4,87.28%,12.72%,0.00%,87.28%,0,1260,1260,1260,,,,,1125,1260,1260,1260,1125,1260,1260,1260,500,971,1184,1325,500,781,993,1189
