frame_no,frametime_original,frametime,in_slot_0,in_slot_1,in_slot_2,in_slot_3,out_slot_0,out_slot_1,out_slot_2,out_slot_3,measured_utilization_lot_0,measured_utilization_lot_1,measured_utilization_lot_2,measured_utilization_lot_3,avg_measured_utilization_of_total,avg_measured_unused_of_total,agg_net_space_util,agg_unused_space,spots_occupied,times_parking_in_use,times_parking_in_full_use,accumulated_used_slots_no_vehicles,avg_space_util_per_slot,avg_measured_unused_per_slot,net_util_at_full_capacity,net_util_of_used_lots,accum_time_used_slot_0_per_vehicle,accum_time_used_slot_1_per_vehicle,accum_time_used_slot_2_per_vehicle,accum_time_used_slot_3_per_vehicle,final_time_used_slot_0_per_vehicle,final_time_used_slot_1_per_vehicle,final_time_used_slot_2_per_vehicle,final_time_used_slot_3_per_vehicle,total_used_sec_slot_0,total_used_sec_slot_1,total_used_sec_slot_2,total_used_sec_slot_3,total_used_sec_slot_0_wrk_hrs,total_used_sec_slot_1_wrk_hrs,total_used_sec_slot_2_wrk_hrs,total_used_sec_slot_3_wrk_hrs,coordinate_end_slot_0,coordinate_end_slot_1,coordinate_end_slot_2,coordinate_end_slot_3,coordinate_start_slot_0,coordinate_start_slot_1,coordinate_start_slot_2,coordinate_start_slot_3,,,,,,,,,,,,,,,,,
1,7/10/17 12:15,12:15:00,1,1,1,1,0,0,0,0,66.58%,86.39%,83.03%,82.69%,79.67%,20.33%,3.19,0.81,4,1,1,4,79.67%,20.33%,79.67%,79.67%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,476,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
2,7/10/17 12:15,12:15:15,0,0,0,0,0,0,0,0,66.58%,86.39%,83.03%,82.69%,79.67%,20.33%,3.19,0.81,4,1,1,4,79.67%,20.33%,79.67%,79.67%,15,15,15,15,,,,,15,15,15,15,15,15,15,15,476,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
3,7/10/17 12:15,12:15:30,0,0,0,0,0,0,0,0,66.58%,86.39%,83.03%,82.69%,79.67%,20.33%,3.19,0.81,4,1,1,4,79.67%,20.33%,79.67%,79.67%,30,30,30,30,,,,,30,30,30,30,30,30,30,30,476,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
4,7/10/17 12:15,12:15:45,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,45,45,45,45,,,,,45,45,45,45,45,45,45,45,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
5,7/10/17 12:16,12:16:00,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,60,60,60,60,,,,,60,60,60,60,60,60,60,60,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
6,7/10/17 12:16,12:16:15,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,75,75,75,75,,,,,75,75,75,75,75,75,75,75,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
7,7/10/17 12:16,12:16:30,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,90,90,90,90,,,,,90,90,90,90,90,90,90,90,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
8,7/10/17 12:16,12:16:45,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,105,105,105,105,,,,,105,105,105,105,105,105,105,105,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
9,7/10/17 12:17,12:17:00,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,120,120,120,120,,,,,120,120,120,120,120,120,120,120,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
10,7/10/17 12:17,12:17:15,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,135,135,135,135,,,,,135,135,135,135,135,135,135,135,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
11,7/10/17 12:17,12:17:30,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,150,150,150,150,,,,,150,150,150,150,150,150,150,150,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
12,7/10/17 12:17,12:17:45,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,165,165,165,165,,,,,165,165,165,165,165,165,165,165,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
13,7/10/17 12:18,12:18:00,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,180,180,180,180,,,,,180,180,180,180,180,180,180,180,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
14,7/10/17 12:18,12:18:15,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,195,195,195,195,,,,,195,195,195,195,195,195,195,195,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
15,7/10/17 12:18,12:18:30,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,210,210,210,210,,,,,210,210,210,210,210,210,210,210,482,931,1281,1565,190,603,1007,1350,,,,,,,,,,,,,,,,,
16,7/10/17 12:18,12:18:45,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,225,225,225,225,,,,,225,225,225,225,225,225,225,225,482,931,1281,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
17,7/10/17 12:19,12:19:00,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,240,240,240,240,,,,,240,240,240,240,240,240,240,240,482,931,1281,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
18,7/10/17 12:19,12:19:15,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,255,255,255,255,,,,,255,255,255,255,255,255,255,255,482,931,1281,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
19,7/10/17 12:19,12:19:30,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,270,270,270,270,,,,,270,270,270,270,270,270,270,270,482,931,1281,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
20,7/10/17 12:19,12:19:45,0,0,0,0,0,0,0,0,68.16%,86.39%,83.03%,82.69%,80.07%,19.93%,3.20,0.80,4,1,1,4,80.07%,19.93%,80.07%,80.07%,285,285,285,285,,,,,285,285,285,285,285,285,285,285,482,931,1281,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
21,7/10/17 12:20,12:20:00,0,0,0,0,0,0,0,0,68.68%,86.39%,83.03%,82.69%,80.20%,19.80%,3.21,0.79,4,1,1,4,80.20%,19.80%,80.20%,80.20%,300,300,300,300,,,,,300,300,300,300,300,300,300,300,484,931,1281,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
22,7/10/17 12:20,12:20:15,0,0,0,0,0,0,0,0,68.68%,86.39%,83.03%,82.69%,80.20%,19.80%,3.21,0.79,4,1,1,4,80.20%,19.80%,80.20%,80.20%,315,315,315,315,,,,,315,315,315,315,315,315,315,315,484,931,1281,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
23,7/10/17 12:20,12:20:30,0,0,0,0,0,0,0,0,68.68%,86.39%,83.03%,82.69%,80.20%,19.80%,3.21,0.79,4,1,1,4,80.20%,19.80%,80.20%,80.20%,330,330,330,330,,,,,330,330,330,330,330,330,330,330,484,931,1281,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
24,7/10/17 12:20,12:20:45,0,0,0,0,0,0,0,0,68.68%,86.39%,83.33%,82.69%,80.27%,19.73%,3.21,0.79,4,1,1,4,80.27%,19.73%,80.27%,80.27%,345,345,345,345,,,,,345,345,345,345,345,345,345,345,484,931,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
25,7/10/17 12:21,12:21:00,0,0,0,0,0,0,0,0,68.68%,86.39%,83.33%,82.69%,80.27%,19.73%,3.21,0.79,4,1,1,4,80.27%,19.73%,80.27%,80.27%,360,360,360,360,,,,,360,360,360,360,360,360,360,360,484,931,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
26,7/10/17 12:21,12:21:15,0,0,0,0,0,0,0,0,68.16%,86.39%,83.33%,82.69%,80.14%,19.86%,3.21,0.79,4,1,1,4,80.14%,19.86%,80.14%,80.14%,375,375,375,375,,,,,375,375,375,375,375,375,375,375,482,931,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
27,7/10/17 12:21,12:21:30,0,0,0,0,0,0,0,0,68.16%,86.39%,83.33%,82.69%,80.14%,19.86%,3.21,0.79,4,1,1,4,80.14%,19.86%,80.14%,80.14%,390,390,390,390,,,,,390,390,390,390,390,390,390,390,482,931,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
28,7/10/17 12:21,12:21:45,0,0,0,0,0,0,0,0,68.16%,86.39%,83.33%,82.69%,80.14%,19.86%,3.21,0.79,4,1,1,4,80.14%,19.86%,80.14%,80.14%,405,405,405,405,,,,,405,405,405,405,405,405,405,405,482,931,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
29,7/10/17 12:22,12:22:00,0,0,0,0,0,0,0,0,68.16%,86.39%,83.33%,82.69%,80.14%,19.86%,3.21,0.79,4,1,1,4,80.14%,19.86%,80.14%,80.14%,420,420,420,420,,,,,420,420,420,420,420,420,420,420,482,931,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
30,7/10/17 12:22,12:22:15,0,0,0,0,0,0,0,0,68.16%,86.39%,83.33%,82.69%,80.14%,19.86%,3.21,0.79,4,1,1,4,80.14%,19.86%,80.14%,80.14%,435,435,435,435,,,,,435,435,435,435,435,435,435,435,482,931,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
31,7/10/17 12:22,12:22:30,0,0,0,0,0,0,0,0,68.68%,86.39%,83.33%,82.69%,80.27%,19.73%,3.21,0.79,4,1,1,4,80.27%,19.73%,80.27%,80.27%,450,450,450,450,,,,,450,450,450,450,450,450,450,450,484,931,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
32,7/10/17 12:22,12:22:45,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,465,465,465,465,,,,,465,465,465,465,465,465,465,465,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
33,7/10/17 12:23,12:23:00,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,480,480,480,480,,,,,480,480,480,480,480,480,480,480,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
34,7/10/17 12:23,12:23:15,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,495,495,495,495,,,,,495,495,495,495,495,495,495,495,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
35,7/10/17 12:23,12:23:30,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,510,510,510,510,,,,,510,510,510,510,510,510,510,510,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
36,7/10/17 12:23,12:23:45,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,525,525,525,525,,,,,525,525,525,525,525,525,525,525,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
37,7/10/17 12:24,12:24:00,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,540,540,540,540,,,,,540,540,540,540,540,540,540,540,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
38,7/10/17 12:24,12:24:15,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,555,555,555,555,,,,,555,555,555,555,555,555,555,555,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
39,7/10/17 12:24,12:24:30,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,570,570,570,570,,,,,570,570,570,570,570,570,570,570,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
40,7/10/17 12:24,12:24:45,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,585,585,585,585,,,,,585,585,585,585,585,585,585,585,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
41,7/10/17 12:25,12:25:00,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,600,600,600,600,,,,,600,600,600,600,600,600,600,600,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
42,7/10/17 12:25,12:25:15,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,615,615,615,615,,,,,615,615,615,615,615,615,615,615,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
43,7/10/17 12:25,12:25:30,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,82.69%,80.48%,19.52%,3.22,0.78,4,1,1,4,80.48%,19.52%,80.48%,80.48%,630,630,630,630,,,,,630,630,630,630,630,630,630,630,484,934,1282,1565,193,603,1007,1350,,,,,,,,,,,,,,,,,
44,7/10/17 12:25,12:25:45,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,83.46%,80.68%,19.32%,3.23,0.77,4,1,1,4,80.68%,19.32%,80.68%,80.68%,645,645,645,645,,,,,645,645,645,645,645,645,645,645,484,934,1282,1565,193,603,1007,1348,,,,,,,,,,,,,,,,,
45,7/10/17 12:26,12:26:00,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,83.46%,80.68%,19.32%,3.23,0.77,4,1,1,4,80.68%,19.32%,80.68%,80.68%,660,660,660,660,,,,,660,660,660,660,660,660,660,660,484,934,1282,1565,193,603,1007,1348,,,,,,,,,,,,,,,,,
46,7/10/17 12:26,12:26:15,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,83.46%,80.68%,19.32%,3.23,0.77,4,1,1,4,80.68%,19.32%,80.68%,80.68%,675,675,675,675,,,,,675,675,675,675,675,675,675,675,484,934,1282,1565,193,603,1007,1348,,,,,,,,,,,,,,,,,
47,7/10/17 12:26,12:26:30,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,83.46%,80.68%,19.32%,3.23,0.77,4,1,1,4,80.68%,19.32%,80.68%,80.68%,690,690,690,690,,,,,690,690,690,690,690,690,690,690,484,934,1282,1565,193,603,1007,1348,,,,,,,,,,,,,,,,,
48,7/10/17 12:26,12:26:45,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,83.46%,80.68%,19.32%,3.23,0.77,4,1,1,4,80.68%,19.32%,80.68%,80.68%,705,705,705,705,,,,,705,705,705,705,705,705,705,705,484,934,1282,1565,193,603,1007,1348,,,,,,,,,,,,,,,,,
49,7/10/17 12:27,12:27:00,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,83.46%,80.68%,19.32%,3.23,0.77,4,1,1,4,80.68%,19.32%,80.68%,80.68%,720,720,720,720,,,,,720,720,720,720,720,720,720,720,484,934,1282,1565,193,603,1007,1348,,,,,,,,,,,,,,,,,
50,7/10/17 12:27,12:27:15,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,83.46%,80.68%,19.32%,3.23,0.77,4,1,1,4,80.68%,19.32%,80.68%,80.68%,735,735,735,735,,,,,735,735,735,735,735,735,735,735,484,934,1282,1565,193,603,1007,1348,,,,,,,,,,,,,,,,,
51,7/10/17 12:27,12:27:30,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,83.46%,80.68%,19.32%,3.23,0.77,4,1,1,4,80.68%,19.32%,80.68%,80.68%,750,750,750,750,,,,,750,750,750,750,750,750,750,750,484,934,1282,1565,193,603,1007,1348,,,,,,,,,,,,,,,,,
52,7/10/17 12:27,12:27:45,0,0,0,0,0,0,0,0,68.68%,87.22%,83.33%,83.46%,80.68%,19.32%,3.23,0.77,4,1,1,4,80.68%,19.32%,80.68%,80.68%,765,765,765,765,,,,,765,765,765,765,765,765,765,765,484,934,1282,1565,193,603,1007,1348,,,,,,,,,,,,,,,,,
