frame_no,frametime_original,frametime,in_slot_0,in_slot_1,in_slot_2,in_slot_3,out_slot_0,out_slot_1,out_slot_2,out_slot_3,measured_utilization_lot_0,measured_utilization_lot_1,measured_utilization_lot_2,measured_utilization_lot_3,avg_measured_utilization_of_total,avg_measured_unused_of_total,agg_net_space_util,agg_unused_space,spots_occupied,times_parking_in_use,times_parking_in_full_use,accumulated_used_slots_no_vehicles,avg_space_util_per_slot,avg_measured_unused_per_slot,net_util_at_full_capacity,net_util_of_used_lots,accum_time_used_slot_0_per_vehicle,accum_time_used_slot_1_per_vehicle,accum_time_used_slot_2_per_vehicle,accum_time_used_slot_3_per_vehicle,final_time_used_slot_0_per_vehicle,final_time_used_slot_1_per_vehicle,final_time_used_slot_2_per_vehicle,final_time_used_slot_3_per_vehicle,total_used_sec_slot_0,total_used_sec_slot_1,total_used_sec_slot_2,total_used_sec_slot_3,total_used_sec_slot_0_wrk_hrs,total_used_sec_slot_1_wrk_hrs,total_used_sec_slot_2_wrk_hrs,total_used_sec_slot_3_wrk_hrs,coordinate_end_slot_0,coordinate_end_slot_1,coordinate_end_slot_2,coordinate_end_slot_3,coordinate_start_slot_0,coordinate_start_slot_1,coordinate_start_slot_2,coordinate_start_slot_3,,,,,,,,,,,,,,,,,
1,7/14/17 10:12,10:12:30,1,1,0,1,0,0,0,0,100.29%,97.75%,0.00%,64.06%,65.53%,34.47%,2.62,1.38,3,1,0,3,87.37%,12.63%,0.00%,87.37%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,501,921,930,1492,131,500,930,1287,,,,,,,,,,,,,,,,,
2,7/14/17 10:12,10:12:45,0,0,0,0,0,0,0,0,100.29%,97.75%,0.00%,64.06%,65.53%,34.47%,2.62,1.38,3,1,0,3,87.37%,12.63%,0.00%,87.37%,15,15,0,15,,,,,15,15,0,15,15,15,0,15,501,921,930,1492,131,500,930,1287,,,,,,,,,,,,,,,,,
3,7/14/17 10:13,10:13:00,0,0,0,0,0,0,0,0,100.29%,97.75%,0.00%,64.06%,65.53%,34.47%,2.62,1.38,3,1,0,3,87.37%,12.63%,0.00%,87.37%,30,30,0,30,,,,,30,30,0,30,30,30,0,30,501,921,930,1492,131,500,930,1287,,,,,,,,,,,,,,,,,
4,7/14/17 10:13,10:13:15,0,0,0,0,0,0,0,0,100.29%,97.75%,0.00%,64.06%,65.53%,34.47%,2.62,1.38,3,1,0,3,87.37%,12.63%,0.00%,87.37%,45,45,0,45,,,,,45,45,0,45,45,45,0,45,501,921,930,1492,131,500,930,1287,,,,,,,,,,,,,,,,,
5,7/14/17 10:13,10:13:30,0,0,0,0,0,0,0,0,100.29%,97.75%,0.00%,64.06%,65.53%,34.47%,2.62,1.38,3,1,0,3,87.37%,12.63%,0.00%,87.37%,60,60,0,60,,,,,60,60,0,60,60,60,0,60,501,921,930,1492,131,500,930,1287,,,,,,,,,,,,,,,,,
6,7/14/17 10:13,10:13:45,0,0,0,0,0,0,0,0,100.29%,97.75%,0.00%,64.06%,65.53%,34.47%,2.62,1.38,3,1,0,3,87.37%,12.63%,0.00%,87.37%,75,75,0,75,,,,,75,75,0,75,75,75,0,75,501,921,930,1492,131,500,930,1287,,,,,,,,,,,,,,,,,
7,7/14/17 10:14,10:14:00,0,0,1,0,0,0,0,0,100.29%,97.75%,87.69%,68.13%,88.46%,11.54%,3.54,0.46,4,1,1,4,88.46%,11.54%,88.46%,88.46%,90,90,15,90,,,,,90,90,15,90,90,90,15,90,501,921,1268,1492,131,500,970,1287,,,,,,,,,,,,,,,,,
8,7/14/17 10:14,10:14:15,0,0,0,0,0,0,0,0,100.29%,97.75%,80.92%,74.69%,88.41%,11.59%,3.54,0.46,4,1,1,4,88.41%,11.59%,88.41%,88.41%,105,105,30,105,,,,,105,105,30,105,105,105,30,105,501,921,1289,1492,131,500,992,1287,,,,,,,,,,,,,,,,,
9,7/14/17 10:14,10:14:30,0,0,0,0,0,0,0,0,100.29%,97.75%,80.92%,74.69%,88.41%,11.59%,3.54,0.46,4,1,1,4,88.41%,11.59%,88.41%,88.41%,120,120,45,120,,,,,120,120,45,120,120,120,45,120,501,921,1289,1492,131,500,992,1287,,,,,,,,,,,,,,,,,
10,7/14/17 10:14,10:14:45,0,0,0,0,0,0,0,0,100.29%,97.75%,80.92%,74.69%,88.41%,11.59%,3.54,0.46,4,1,1,4,88.41%,11.59%,88.41%,88.41%,135,135,60,135,,,,,135,135,60,135,135,135,60,135,501,921,1289,1492,131,500,992,1287,,,,,,,,,,,,,,,,,
11,7/14/17 10:15,10:15:00,0,0,0,0,0,0,0,0,100.29%,97.75%,80.92%,74.69%,88.41%,11.59%,3.54,0.46,4,1,1,4,88.41%,11.59%,88.41%,88.41%,150,150,75,150,,,,,150,150,75,150,150,150,75,150,501,921,1289,1492,131,500,992,1287,,,,,,,,,,,,,,,,,
12,7/14/17 10:15,10:15:15,0,0,0,0,0,0,0,0,100.29%,97.75%,80.92%,74.69%,88.41%,11.59%,3.54,0.46,4,1,1,4,88.41%,11.59%,88.41%,88.41%,165,165,90,165,,,,,165,165,90,165,165,165,90,165,501,921,1289,1492,131,500,992,1287,,,,,,,,,,,,,,,,,
13,7/14/17 10:15,10:15:30,0,0,0,0,0,0,0,0,100.29%,97.75%,80.92%,74.69%,88.41%,11.59%,3.54,0.46,4,1,1,4,88.41%,11.59%,88.41%,88.41%,180,180,105,180,,,,,180,180,105,180,180,180,105,180,501,921,1289,1492,131,500,992,1287,,,,,,,,,,,,,,,,,
14,7/14/17 10:15,10:15:45,0,0,0,0,0,0,0,0,100.29%,97.75%,80.92%,74.69%,88.41%,11.59%,3.54,0.46,4,1,1,4,88.41%,11.59%,88.41%,88.41%,195,195,120,195,,,,,195,195,120,195,195,195,120,195,501,921,1289,1492,131,500,992,1287,,,,,,,,,,,,,,,,,
15,7/14/17 10:16,10:16:00,0,0,0,0,0,0,0,0,100.29%,97.75%,80.92%,74.69%,88.41%,11.59%,3.54,0.46,4,1,1,4,88.41%,11.59%,88.41%,88.41%,210,210,135,210,,,,,210,210,135,210,210,210,135,210,501,921,1289,1492,131,500,992,1287,,,,,,,,,,,,,,,,,
16,7/14/17 10:16,10:16:15,0,0,0,0,0,0,0,0,100.29%,97.75%,80.92%,74.69%,88.41%,11.59%,3.54,0.46,4,1,1,4,88.41%,11.59%,88.41%,88.41%,225,225,150,225,,,,,225,225,150,225,225,225,150,225,501,921,1289,1492,131,500,992,1287,,,,,,,,,,,,,,,,,
