frame_no,frametime_original,frametime,in_slot_0,in_slot_1,in_slot_2,in_slot_3,out_slot_0,out_slot_1,out_slot_2,out_slot_3,measured_utilization_lot_0,measured_utilization_lot_1,measured_utilization_lot_2,measured_utilization_lot_3,avg_measured_utilization_of_total,avg_measured_unused_of_total,agg_net_space_util,agg_unused_space,spots_occupied,times_parking_in_use,times_parking_in_full_use,accumulated_used_slots_no_vehicles,avg_space_util_per_slot,avg_measured_unused_per_slot,net_util_at_full_capacity,net_util_of_used_lots,accum_time_used_slot_0_per_vehicle,accum_time_used_slot_1_per_vehicle,accum_time_used_slot_2_per_vehicle,accum_time_used_slot_3_per_vehicle,final_time_used_slot_0_per_vehicle,final_time_used_slot_1_per_vehicle,final_time_used_slot_2_per_vehicle,final_time_used_slot_3_per_vehicle,total_used_sec_slot_0,total_used_sec_slot_1,total_used_sec_slot_2,total_used_sec_slot_3,total_used_sec_slot_0_wrk_hrs,total_used_sec_slot_1_wrk_hrs,total_used_sec_slot_2_wrk_hrs,total_used_sec_slot_3_wrk_hrs,coordinate_end_slot_0,coordinate_end_slot_1,coordinate_end_slot_2,coordinate_end_slot_3,coordinate_start_slot_0,coordinate_start_slot_1,coordinate_start_slot_2,coordinate_start_slot_3,,,,,,,,,,,,,,,,,
1,7/14/17 10:12,10:12:30,0,1,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
2,7/14/17 10:12,10:12:45,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,15,15,0,0,,,,,15,15,0,0,15,15,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
3,7/14/17 10:13,10:13:00,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,30,30,0,0,,,,,30,30,0,0,30,30,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
4,7/14/17 10:13,10:13:15,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,45,45,0,0,,,,,45,45,0,0,45,45,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
5,7/14/17 10:13,10:13:30,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,60,60,0,0,,,,,60,60,0,0,60,60,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
6,7/14/17 10:13,10:13:45,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,75,75,0,0,,,,,75,75,0,0,75,75,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
7,7/14/17 10:14,10:14:00,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,90,90,0,0,,,,,90,90,0,0,90,90,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
8,7/14/17 10:14,10:14:15,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,105,105,0,0,,,,,105,105,0,0,105,105,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
9,7/14/17 10:14,10:14:30,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,120,120,0,0,,,,,120,120,0,0,120,120,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
10,7/14/17 10:14,10:14:45,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,135,135,0,0,,,,,135,135,0,0,135,135,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
11,7/14/17 10:15,10:15:00,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,150,150,0,0,,,,,150,150,0,0,150,150,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
12,7/14/17 10:15,10:15:15,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,165,165,0,0,,,,,165,165,0,0,165,165,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
13,7/14/17 10:15,10:15:30,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,180,180,0,0,,,,,180,180,0,0,180,180,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
14,7/14/17 10:15,10:15:45,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,195,195,0,0,,,,,195,195,0,0,195,195,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
15,7/14/17 10:16,10:16:00,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,210,210,0,0,,,,,210,210,0,0,210,210,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
16,7/14/17 10:16,10:16:15,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,225,225,0,0,,,,,225,225,0,0,225,225,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
17,7/14/17 10:16,10:16:30,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,240,240,0,0,,,,,240,240,0,0,240,240,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
18,7/14/17 10:16,10:16:45,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,255,255,0,0,,,,,255,255,0,0,255,255,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
19,7/14/17 10:17,10:17:00,0,0,0,0,0,0,0,0,4.47%,95.56%,0.00%,0.00%,25.01%,74.99%,1.00,3.00,2,1,0,2,50.01%,49.99%,0.00%,50.01%,270,270,0,0,,,,,270,270,0,0,270,270,0,0,240,964,980,1310,240,603,980,1310,,,,,,,,,,,,,,,,,
